pair_id,run_idx,expert1_name,expert1_company,expert1_type,expert2_name,expert2_company,expert2_type,avg_expert_score,CQS_collab_eq4,CQS_extended,pair_weighted_by_large_corp
G06F16-H04W12,0,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme,22.35,6.9434,7.3593,1
G06F16-H04W12,1,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp,17.9,7.1464,7.432,1
B60R21-B60R23,0,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme,22.35,7.076,7.4898,1
B60R21-B60R23,1,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp,17.9,7.0066,7.4274,1
G08G5-H04L20,0,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme,22.35,7.2602,7.6423,1
G08G5-H04L20,1,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp,17.9,7.11,7.4924,1
B60R23-G01S7,0,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme,22.35,7.4158,7.7344,1
B60R23-G01S7,1,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp,17.9,7.36,7.7024,1
B61L25-G06Q50,0,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme,22.35,6.9506,7.2864,1
B61L25-G06Q50,1,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp,17.9,7.0594,7.4479,1
G07C5-H04M1,0,SHIMOTANI MITSUO,MITSUBISHI ELECTRIC CORP,large_corp,AKBAR ZEHRA,SKYGRID LLC,sme,22.35,7.1288,7.5254,1
G07C5-H04M1,1,Nordbruch Stefan,Bosch GmbH,large_corp,AIZAWA TOMOYOSHI,OMRON CORP,large_corp,17.9,7.1106,7.569,1
